"","Pathway","N","DE","P.DE","FDR"
"path:hsa04650","Natural killer cell mediated cytotoxicity",100,63,1.62165132157905e-12,5.44874844050561e-10
"path:hsa04612","Antigen processing and presentation",63,43,1.24132677617731e-10,4.15844470019399e-08
"path:hsa04640","Hematopoietic cell lineage",81,50,9.07357014224768e-10,3.03057242751073e-07
"path:hsa04659","Th17 cell differentiation",94,54,7.80537743050354e-09,2.59919068435768e-06
"path:hsa05321","Inflammatory bowel disease (IBD)",53,35,2.48734201468066e-08,8.25797548873979e-06
"path:hsa04658","Th1 and Th2 cell differentiation",80,47,2.74292659161767e-08,9.0790870182545e-06
"path:hsa04060","Cytokine-cytokine receptor interaction",180,86,7.02724123916013e-08,2.31898960892284e-05
"path:hsa05332","Graft-versus-host disease",34,24,6.24792820238429e-07,0.000205556837858443
"path:hsa05200","Pathways in cancer",416,165,1.52673505114566e-06,0.000500769096775776
"path:hsa05340","Primary immunodeficiency",33,23,1.53621451121572e-06,0.00050234214516754
"path:hsa04145","Phagosome",132,64,1.69554224180348e-06,0.000552746770827935
"path:hsa04061","Viral protein interaction with cytokine and cytokine receptor",70,39,2.63379420079017e-06,0.000855983115256805
"path:hsa04380","Osteoclast differentiation",118,58,2.95554714770549e-06,0.000957597275856578
"path:hsa04670","Leukocyte transendothelial migration",88,46,3.75048564425405e-06,0.00121140686309406
"path:hsa05166","Human T-cell leukemia virus 1 infection",199,87,6.40262031284655e-06,0.00206164374073659
"path:hsa04672","Intestinal immune network for IgA production",37,24,6.45463361488272e-06,0.00207193739037735
"path:hsa05131","Shigellosis",202,87,1.30045644330104e-05,0.00416146061856332
"path:hsa03010","Ribosome",107,52,1.4192724816622e-05,0.00452747921650241
"path:hsa05140","Leishmaniasis",69,37,1.5406660058234e-05,0.00489931789851841
"path:hsa05163","Human cytomegalovirus infection",186,81,1.56429404571011e-05,0.00495881212490104
"path:hsa05416","Viral myocarditis",50,29,1.76734053723016e-05,0.00558479609764732
"path:hsa05330","Allograft rejection",30,20,2.1150534120753e-05,0.00666241824803719
"path:hsa05152","Tuberculosis",149,67,2.40145912043959e-05,0.00754058163818033
"path:hsa05169","Epstein-Barr virus infection",174,76,2.48953239888902e-05,0.00779223640852262
"path:hsa04514","Cell adhesion molecules (CAMs)",109,52,2.71494917040948e-05,0.00847064141167758
"path:hsa04662","B cell receptor signaling pathway",76,39,3.49384209625602e-05,0.0108658489193562
"path:hsa05320","Autoimmune thyroid disease",29,19,4.92537123259862e-05,0.0152686508210557
"path:hsa05144","Malaria",43,25,6.31529704112099e-05,0.0195142678570639
"path:hsa05170","Human immunodeficiency virus 1 infection",179,76,7.90610702770858e-05,0.0243508096453424
"path:hsa04141","Protein processing in endoplasmic reticulum",151,66,8.04077305110506e-05,0.0246851732668925
"path:hsa05146","Amoebiasis",81,40,8.55251348100568e-05,0.0261706912518774
"path:hsa04070","Phosphatidylinositol signaling system",84,41,9.80010006730616e-05,0.0298903052052838
"path:hsa00562","Inositol phosphate metabolism",66,34,9.85411085522156e-05,0.0299564969998735
"path:hsa04630","JAK-STAT signaling pathway",108,50,0.000101179773288232,0.0306574713063342
"path:hsa05202","Transcriptional misregulation in cancer",137,60,0.000155134143698614,0.0468505113969815
"path:hsa04940","Type I diabetes mellitus",33,20,0.000155305661087853,0.0468505113969815
"path:hsa00564","Glycerophospholipid metabolism",83,40,0.000168084837578157,0.050425451273447
"path:hsa04218","Cellular senescence",143,62,0.000171757224074637,0.0513554099983165
"path:hsa05323","Rheumatoid arthritis",77,37,0.000312912965599654,0.0932480637486968
"path:hsa05206","MicroRNAs in cancer",144,61,0.000411253074250234,0.12214216305232
