"","Pathway","N","DE","P.DE","FDR"
"path:hsa03013","RNA transport",138,112,1.8193318332591e-09,6.11295495975058e-07
"path:hsa03010","Ribosome",107,89,8.15961114903842e-09,2.73346973492787e-06
"path:hsa00970","Aminoacyl-tRNA biosynthesis",40,36,6.33612084687483e-06,0.00211626436285619
"path:hsa03008","Ribosome biogenesis in eukaryotes",69,57,6.35178364636029e-06,0.00211626436285619
"path:hsa04142","Lysosome",117,86,0.000176512606081528,0.0586021852190674
"path:hsa05012","Parkinson disease",124,90,0.000266149087876968,0.0880953480872763
"path:hsa01100","Metabolic pathways",1215,748,0.000665357126202106,0.219567851646695
"path:hsa01200","Carbon metabolism",100,73,0.000746543335112468,0.245612757252002
"path:hsa05010","Alzheimer disease",282,187,0.000961553370338082,0.315389505470891
"path:hsa05016","Huntington disease",232,156,0.000993228677356765,0.324785777495662
"path:hsa00020","Citrate cycle (TCA cycle)",28,24,0.00127120051675216,0.414411368461204
"path:hsa04723","Retrograde endocannabinoid signaling",109,78,0.00132835837435843,0.431716471666488
"path:hsa04714","Thermogenesis",202,136,0.0018789777399212,0.60878878773447
"path:hsa05203","Viral carcinogenesis",165,112,0.00299335944094447,0.966855099425065
"path:hsa00190","Oxidative phosphorylation",116,81,0.00334949055572928,1
"path:hsa04145","Phagosome",132,91,0.00354954666661772,1
"path:hsa04120","Ubiquitin mediated proteolysis",126,87,0.00401539372225469,1
"path:hsa04932","Non-alcoholic fatty liver disease (NAFLD)",134,91,0.00687148488394794,1
"path:hsa00620","Pyruvate metabolism",33,26,0.00803536289819234,1
"path:hsa05152","Tuberculosis",149,100,0.00806017791498531,1
"path:hsa04621","NOD-like receptor signaling pathway",146,98,0.00860794694723655,1
"path:hsa03020","RNA polymerase",29,23,0.0109620469883402,1
"path:hsa00640","Propanoate metabolism",32,25,0.0112644365202293,1
"path:hsa05160","Hepatitis C",126,85,0.0113955764464821,1
"path:hsa00630","Glyoxylate and dicarboxylate metabolism",25,20,0.0149739221272757,1
"path:hsa04216","Ferroptosis",40,30,0.0151107959551957,1
"path:hsa05143","African trypanosomiasis",28,22,0.0154820848611461,1
"path:hsa00250","Alanine, aspartate and glutamate metabolism",28,22,0.0154820848611461,1
"path:hsa05167","Kaposi sarcoma-associated herpesvirus infection",155,102,0.0170536244283831,1
"path:hsa04217","Necroptosis",121,81,0.0175202267578166,1
"path:hsa04730","Long-term depression",45,33,0.0187464219376733,1
"path:hsa04061","Viral protein interaction with cytokine and cytokine receptor",70,49,0.0187557580857809,1
"path:hsa04666","Fc gamma R-mediated phagocytosis",86,59,0.0195809987724348,1
"path:hsa01212","Fatty acid metabolism",50,36,0.0222013592313763,1
"path:hsa04720","Long-term potentiation",46,33,0.0302605827157013,1
"path:hsa04664","Fc epsilon RI signaling pathway",57,40,0.0302938586589691,1
"path:hsa00280","Valine, leucine and isoleucine degradation",43,31,0.0319792001487073,1
"path:hsa05164","Influenza A",138,90,0.0325788303588919,1
"path:hsa05322","Systemic lupus erythematosus",62,43,0.0333245335990744,1
"path:hsa05163","Human cytomegalovirus infection",186,119,0.0342039541965641,1
"path:hsa00430","Taurine and hypotaurine metabolism",6,6,0.0349091396174253,1
"path:hsa04912","GnRH signaling pathway",75,51,0.0359821286493733,1
"path:hsa03018","RNA degradation",72,49,0.0385792813909397,1
"path:hsa00510","N-Glycan biosynthesis",45,32,0.0388996211811913,1
"path:hsa04144","Endocytosis",217,137,0.0422267293612521,1
"path:hsa00565","Ether lipid metabolism",36,26,0.0464605840207074,1
"path:hsa03040","Spliceosome",120,78,0.0488330577448693,1
"path:hsa04662","B cell receptor signaling pathway",76,51,0.0494269722910966,1
"path:hsa00480","Glutathione metabolism",44,31,0.0496509716175183,1
"path:hsa00071","Fatty acid degradation",38,27,0.0565788009700423,1
"path:hsa05161","Hepatitis B",139,89,0.0591841259936793,1
"path:hsa00531","Glycosaminoglycan degradation",15,12,0.0597493602821874,1
"path:hsa00900","Terpenoid backbone biosynthesis",18,14,0.0598476469315498,1
"path:hsa01230","Biosynthesis of amino acids",59,40,0.0628060849768103,1
"path:hsa00513","Various types of N-glycan biosynthesis",32,23,0.0642510016984539,1
"path:hsa04062","Chemokine signaling pathway",153,97,0.0684733714820206,1
"path:hsa05140","Leishmaniasis",69,46,0.0688699847609987,1
"path:hsa00010","Glycolysis / Gluconeogenesis",53,36,0.0727956682386924,1
"path:hsa04623","Cytosolic DNA-sensing pathway",45,31,0.073457533297957,1
"path:hsa04146","Peroxisome",76,50,0.0789209119556998,1
"path:hsa00230","Purine metabolism",104,67,0.079980002519971,1
"path:hsa05146","Amoebiasis",81,53,0.0807862060945775,1
"path:hsa04922","Glucagon signaling pathway",81,53,0.0807862060945775,1
"path:hsa04012","ErbB signaling pathway",73,48,0.084934846468365,1
"path:hsa05223","Non-small cell lung cancer",60,40,0.086111707156834,1
"path:hsa00564","Glycerophospholipid metabolism",83,54,0.0885043666712737,1
"path:hsa00860","Porphyrin and chlorophyll metabolism",25,18,0.0956213216690916,1
"path:hsa04915","Estrogen signaling pathway",92,59,0.105627120463188,1
"path:hsa00471","D-Glutamine and D-glutamate metabolism",4,4,0.106835144327463,1
"path:hsa05134","Legionellosis",51,34,0.108408391015821,1
"path:hsa05219","Bladder cancer",35,24,0.115481279010422,1
"path:hsa04612","Antigen processing and presentation",63,41,0.126040716425045,1
"path:hsa00520","Amino sugar and nucleotide sugar metabolism",45,30,0.127022297078944,1
"path:hsa05166","Human T-cell leukemia virus 1 infection",199,122,0.13253939623051,1
"path:hsa05320","Autoimmune thyroid disease",29,20,0.135886888732493,1
"path:hsa04530","Tight junction",132,82,0.143265227595615,1
"path:hsa04929","GnRH secretion",52,34,0.14478866281895,1
"path:hsa05130","Pathogenic Escherichia coli infection",171,105,0.147669565013741,1
"path:hsa05211","Renal cell carcinoma",67,43,0.149642204390218,1
"path:hsa04066","HIF-1 signaling pathway",97,61,0.149645776654498,1
"path:hsa01210","2-Oxocarboxylic acid metabolism",15,11,0.157713537380283,1
"path:hsa00511","Other glycan degradation",15,11,0.157713537380283,1
"path:hsa05230","Central carbon metabolism in cancer",59,38,0.160403348178699,1
"path:hsa03430","Mismatch repair",23,16,0.16098291467446,1
"path:hsa04010","MAPK signaling pathway",233,141,0.165670731230364,1
"path:hsa03450","Non-homologous end-joining",12,9,0.170100129927377,1
"path:hsa00983","Drug metabolism - other enzymes",51,33,0.172066306348811,1
"path:hsa05150","Staphylococcus aureus infection",51,33,0.172066306348811,1
"path:hsa05205","Proteoglycans in cancer",162,99,0.174242502930991,1
"path:hsa04979","Cholesterol metabolism",33,22,0.177392305609983,1
"path:hsa03050","Proteasome",43,28,0.184672418576458,1
"path:hsa00030","Pentose phosphate pathway",25,17,0.186838930339747,1
"path:hsa05330","Allograft rejection",30,20,0.193795520665821,1
"path:hsa04910","Insulin signaling pathway",117,72,0.194232627353971,1
"path:hsa04060","Cytokine-cytokine receptor interaction",180,109,0.199018817348141,1
"path:hsa05017","Spinocerebellar ataxia",75,47,0.199161476768558,1
"path:hsa00240","Pyrimidine metabolism",50,32,0.202946891172435,1
"path:hsa05034","Alcoholism",97,60,0.203300324682204,1
"path:hsa04916","Melanogenesis",72,45,0.213765502974529,1
"path:hsa03015","mRNA surveillance pathway",72,45,0.213765502974529,1
