"","Term","Ont","N","DE","P.DE","FDR"
"GO:0001775","cell activation","BP",1157,577,1.74020294937052e-54,3.74195840203143e-50
"GO:0002376","immune system process","BP",2327,993,4.74987565105736e-53,1.02131826249035e-48
"GO:0045321","leukocyte activation","BP",1039,521,7.25670927888869e-50,1.56026506205386e-45
"GO:0006955","immune response","BP",1627,723,1.35628811287544e-44,2.91601944268219e-40
"GO:0046649","lymphocyte activation","BP",561,306,7.12277120183582e-38,1.53132458068268e-33
"GO:0071944","cell periphery","CC",3670,1372,1.13782684611271e-36,2.44610015377311e-32
"GO:0031982","vesicle","CC",3004,1158,1.77939851636401e-36,3.82517299062772e-32
"GO:0005886","plasma membrane","CC",3572,1337,8.76640697803234e-36,1.88442684399783e-31
"GO:0050896","response to stimulus","BP",6415,2188,1.60533480785102e-32,3.45066716947578e-28
"GO:0016020","membrane","CC",6646,2241,9.27498790326093e-30,1.9935658999269e-25
"GO:0002252","immune effector process","BP",1001,452,3.85783288774292e-29,8.29164022562586e-25
"GO:0007165","signal transduction","BP",4157,1486,1.08211030588236e-28,2.32567146940236e-24
"GO:0002682","regulation of immune system process","BP",1232,533,1.11422180468558e-28,2.39457408044977e-24
"GO:0007154","cell communication","BP",4494,1589,1.56692577837932e-28,3.36732349773716e-24
"GO:0023052","signaling","BP",4472,1580,4.11975215846268e-28,8.85293541332045e-24
"GO:0042110","T cell activation","BP",390,215,1.22939892182049e-27,2.64173240320786e-23
"GO:0031410","cytoplasmic vesicle","CC",1892,755,1.52835047550489e-27,3.28396666671736e-23
"GO:0097708","intracellular vesicle","CC",1895,756,1.53216934764862e-27,3.29201906035782e-23
"GO:0044433","cytoplasmic vesicle part","CC",1246,534,1.60185877785973e-27,3.44159358423163e-23
"GO:0002263","cell activation involved in immune response","BP",619,304,6.39970754690343e-27,1.37491316937673e-22
"GO:0044425","membrane part","CC",4597,1610,1.34679275728839e-26,2.89331488048265e-22
"GO:0002366","leukocyte activation involved in immune response","BP",616,302,1.38132135658427e-26,2.96735453821432e-22
"GO:0044459","plasma membrane part","CC",1945,767,3.59376912594243e-26,7.71977545943694e-22
"GO:0050865","regulation of cell activation","BP",446,232,5.33257742383232e-25,1.14543763063918e-20
"GO:0002274","myeloid leukocyte activation","BP",571,280,1.02693558182633e-24,2.20575493620477e-20
"GO:0051716","cellular response to stimulus","BP",5300,1809,3.52260348436411e-24,7.56584776371723e-20
"GO:0002250","adaptive immune response","BP",349,191,3.73462034339811e-24,8.02084411151613e-20
